products	cluster
acyl_amino_acids	Other
amglyccycl	Other
arylpolyene	Other
betalactone	Other
blactam	Other
bottromycin	RiPP
butyrolactone	Other
CDPS	NRPS
cyanobactin	RiPP
cyclic-lactone-autoinducer	Other
ectoine	Other
epipeptide	RiPP
fungal-RiPP	RiPP
furan	Other
glycocin	RiPP
guanidinotides	Other
hglE-KS	PKS
hserlactone	Other
indole	Other
ladderane	Other
lanthipeptide-class-i	RiPP
lanthipeptide-class-ii	RiPP
lanthipeptide-class-iii	RiPP
lanthipeptide-class-iv	RiPP
lanthipeptide-class-v	RiPP
LAP	RiPP
lassopeptide	RiPP
linaridin	RiPP
lipolanthine	RiPP
melanin	Other
microviridin	RiPP
NAGGN	Other
NAPAA	Other
NRPS	NRPS
NRPS-like	NRPS
nucleoside	Other
oligosaccharide	Other
other	Other
phenazine	Other
phosphoglycolipid	Other
phosphonate	Other
PKS-like	PKS
prodigiosin	Other
proteusin	RiPP
PUFA	Other
ranthipeptide	RiPP
RaS-RiPP	RiPP
redox-cofactor	Other
resorcinol	Other
RiPP-like	RiPP
RRE-containing	RiPP
sactipeptide	RiPP
siderophore	Siderophore
T1PKS	PKS
T2PKS	PKS
T3PKS	PKS
terpene	Terpene
thioamide-NRP	NRPS
thioamitides	RiPP
thiopeptide	RiPP
transAT-PKS	PKS
transAT-PKS-like	PKS
tropodithietic-acid	Other
