bioproject_id,location,lat,lon
PRJEB32265,Czech Republic,49.88233,15.377705
PRJEB11419,USA,39.715956,-96.999668
PRJEB30970,Greenland,74.319379,-39.335081
PRJNA525366_PRJNA525614,"Dalian, China",38.910638,121.593039
PRJNA473079,China,32.523743,106.431983
PRJNA271113,"Los Angeles, USA",34.05513,-118.25703
PRJEB31590,"Espoo, Finnland",60.20956,24.65104
PRJNA324410,"Minnesota, USA",46.63636,-94.579641
PRJNA496065,"Los Angeles, USA",34.05513,-118.25703
PRJEB23282,"Giessen, Germany",50.584864,8.678804
PRJNA550037,"Wyoming, USA",43.001645,-107.55153
